"[[10 10 10 10]
 [10 10 10 10]]","[[ 3  7 15 15]
 [ 4  6 14 16]]","[-30, 15]",45,"[-35, 24]",59,"[-29, 18]",47,"[-34, 20]",54,"[-29, 18]",47,"[-34, 20]",54

"[[10 10 10 10]
 [10 10 10 10]]","[[ 4  6 14 16]
 [ 5  5 16 14]]","[-27, 20]",47,"[-31, 27]",58,"[-26, 20]",46,"[-30, 26]",56,"[-26, 21]",47,"[-30, 26]",56

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 14 16]
 [ 6  4 15 15]]","[-18, 27]",45,"[-25, 33]",58,"[-19, 26]",45,"[-21, 31]",52,"[-19, 27]",46,"[-21, 31]",52

"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 15 15]
 [ 6  4 16 14]]","[-17, 27]",44,"[-24, 31]",55,"[-19, 26]",45,"[-23, 30]",53,"[-19, 26]",45,"[-23, 30]",53

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 16 14]
 [ 6  4 15 15]]","[-22, 25]",47,"[-29, 30]",59,"[-21, 24]",45,"[-26, 29]",55,"[-22, 24]",46,"[-26, 29]",55

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 14 16]
 [ 8  2 16 14]]","[-14, 34]",48,"[-25, 37]",62,"[-18, 34]",52,"[-18, 36]",54,"[-19, 34]",53,"[-18, 36]",54

"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 15 15]
 [ 4  6 17 13]]","[-29, 18]",47,"[-34, 25]",59,"[-29, 18]",47,"[-33, 21]",54,"[-29, 19]",48,"[-33, 21]",54

"[[10 10 10 10]
 [10 10 10 10]]","[[ 4  6 15 15]
 [ 6  4 12 18]]","[-20, 27]",47,"[-28, 34]",62,"[-20, 27]",47,"[-24, 29]",53,"[-22, 29]",51,"[-24, 29]",53

