"[[0 7 0 7]
 [2 5 3 4]]","[-11, 8]",19,"[-13, 10]",23,"[-11, 8]",19,"[-13, 10]",23,"[-11, 8]",19,"[-13, 10]",23
"[[3 4 3 4]
 [2 5 3 4]]","[-13, 10]",23,"[-13, 10]",23,"[-13, 10]",23,"[-14, 12]",26,"[-13, 10]",23,"[-14, 12]",26
"[[5 2 4 3]
 [4 3 3 4]]","[-8, 14]",22,"[-8, 13]",21,"[-7, 14]",21,"[-10, 14]",24,"[-7, 13]",20,"[-10, 14]",24
"[[3 4 3 4]
 [5 2 5 2]]","[-11, 11]",22,"[-11, 11]",22,"[-11, 11]",22,"[-13, 13]",26,"[-11, 11]",22,"[-13, 13]",26
"[[2 5 2 5]
 [3 4 2 5]]","[-10, 13]",23,"[-10, 13]",23,"[-10, 12]",22,"[-11, 14]",25,"[-9, 12]",21,"[-11, 14]",25
"[[5 2 4 3]
 [3 4 3 4]]","[-10, 13]",23,"[-10, 13]",23,"[-10, 13]",23,"[-12, 15]",27,"[-10, 13]",23,"[-12, 15]",27
"[[4 3 5 2]
 [3 4 5 2]]","[-16, 7]",23,"[-15, 7]",22,"[-15, 7]",22,"[-16, 8]",24,"[-15, 6]",21,"[-16, 8]",24
"[[2 5 3 4]
 [4 3 2 5]]","[-10, 13]",23,"[-11, 13]",24,"[-10, 13]",23,"[-12, 14]",26,"[-10, 13]",23,"[-12, 14]",26
"[[4 3 4 3]
 [1 6 3 4]]","[-14, 9]",23,"[-15, 9]",24,"[-14, 9]",23,"[-16, 11]",27,"[-14, 9]",23,"[-16, 11]",27
"[[3 4 3 4]
 [4 3 3 4]]","[-10, 13]",23,"[-10, 13]",23,"[-10, 13]",23,"[-11, 13]",24,"[-9, 12]",21,"[-11, 13]",24
"[[4 3 4 3]
 [3 4 4 3]]","[-13, 9]",22,"[-13, 10]",23,"[-12, 9]",21,"[-15, 11]",26,"[-12, 9]",21,"[-15, 11]",26
"[[6 1 4 3]
 [4 3 4 3]]","[-8, 14]",22,"[-9, 14]",23,"[-8, 14]",22,"[-10, 15]",25,"[-8, 13]",21,"[-10, 15]",25
"[[5 2 5 2]
 [4 3 5 2]]","[-12, 10]",22,"[-12, 10]",22,"[-12, 9]",21,"[-13, 11]",24,"[-12, 9]",21,"[-13, 11]",24
"[[2 5 1 6]
 [1 6 2 5]]","[-11, 11]",22,"[-12, 11]",23,"[-11, 11]",22,"[-12, 12]",24,"[-11, 11]",22,"[-12, 12]",24
"[[4 3 4 3]
 [5 2 5 2]]","[-11, 11]",22,"[-11, 11]",22,"[-10, 10]",20,"[-12, 12]",24,"[-10, 10]",20,"[-12, 12]",24
"[[3 4 4 3]
 [3 4 3 4]]","[-13, 10]",23,"[-13, 10]",23,"[-13, 10]",23,"[-14, 12]",26,"[-13, 10]",23,"[-14, 12]",26
"[[4 3 3 4]
 [5 2 5 2]]","[-10, 12]",22,"[-9, 12]",21,"[-9, 12]",21,"[-11, 14]",25,"[-9, 12]",21,"[-11, 14]",25
"[[4 3 5 2]
 [5 2 5 2]]","[-13, 10]",23,"[-13, 10]",23,"[-12, 9]",21,"[-14, 11]",25,"[-12, 9]",21,"[-14, 11]",25
"[[5 2 5 2]
 [5 2 5 2]]","[-12, 12]",24,"[-12, 12]",24,"[-12, 12]",24,"[-13, 13]",26,"[-11, 11]",22,"[-13, 13]",26
"[[2 5 2 5]
 [4 3 4 3]]","[-11, 11]",22,"[-11, 11]",22,"[-11, 11]",22,"[-13, 13]",26,"[-11, 11]",22,"[-13, 13]",26
"[[4 3 5 2]
 [1 6 0 7]]","[-10, 11]",21,"[-12, 11]",23,"[-10, 11]",21,"[-11, 12]",23,"[-10, 11]",21,"[-11, 12]",23
