"[[6 0 0 6]
 [5 1 0 6]]","[8, 23]","[11, 23]","[12, 23]","[14, 23]"
"[[6 0 0 6]
 [6 0 0 6]]","[10, 24]","[14, 24]","[14, 24]","[18, 24]"
"[[5 0 0 5]
 [5 0 0 5]]","[6, 20]","[10, 20]","[8, 20]","[14, 20]"
"[[4 1 0 5]
 [5 0 0 5]]","[4, 19]","[8, 19]","[5, 19]","[11, 19]"
"[[6 0 0 6]
 [6 0 1 5]]","[8, 23]","[11, 23]","[11, 23]","[14, 23]"
"[[6 0 0 6]
 [4 2 0 6]]","[6, 22]","[9, 22]","[8, 22]","[10, 22]"
"[[5 0 1 4]
 [5 0 0 5]]","[4, 19]","[8, 19]","[8, 19]","[10, 19]"
"[[5 0 0 5]
 [5 0 1 4]]","[4, 19]","[8, 19]","[7, 19]","[11, 19]"
"[[5 1 0 6]
 [5 1 0 6]]","[6, 22]","[9, 22]","[9, 22]","[12, 22]"
"[[6 0 0 6]
 [6 0 0 6]]","[10, 24]","[14, 24]","[11, 24]","[18, 24]"
"[[6 0 0 6]
 [5 1 0 6]]","[8, 23]","[11, 23]","[9, 23]","[15, 23]"
"[[5 0 1 4]
 [5 0 0 5]]","[4, 19]","[8, 19]","[8, 19]","[11, 19]"
"[[4 1 0 5]
 [5 0 0 5]]","[4, 19]","[8, 19]","[8, 19]","[10, 19]"
"[[6 0 0 6]
 [6 0 1 5]]","[8, 23]","[11, 23]","[10, 23]","[14, 23]"
"[[4 2 0 6]
 [6 0 0 6]]","[6, 22]","[9, 22]","[8, 22]","[11, 22]"
"[[6 0 0 6]
 [4 2 0 6]]","[6, 22]","[9, 22]","[5, 22]","[12, 22]"
"[[5 0 1 4]
 [5 0 0 5]]","[4, 19]","[8, 19]","[7, 19]","[10, 19]"
"[[5 0 1 4]
 [5 0 0 5]]","[4, 19]","[8, 19]","[7, 19]","[10, 19]"
"[[6 0 0 6]
 [6 0 1 5]]","[8, 23]","[11, 23]","[9, 23]","[13, 23]"
"[[5 1 0 6]
 [6 0 0 6]]","[8, 23]","[11, 23]","[10, 23]","[14, 23]"
"[[6 0 0 6]
 [6 0 1 5]]","[8, 23]","[11, 23]","[12, 23]","[15, 23]"
"[[4 1 0 5]
 [5 0 0 5]]","[4, 19]","[8, 19]","[7, 19]","[11, 19]"
"[[5 0 0 5]
 [5 0 1 4]]","[4, 19]","[8, 19]","[4, 19]","[10, 19]"
"[[6 0 0 6]
 [3 3 0 6]]","[4, 21]","[7, 21]","[6, 21]","[10, 21]"
"[[5 0 1 4]
 [5 0 0 5]]","[4, 19]","[8, 19]","[7, 19]","[10, 19]"
"[[5 1 1 5]
 [6 0 0 6]]","[6, 22]","[8, 22]","[9, 22]","[12, 22]"
"[[5 1 0 6]
 [5 1 0 6]]","[6, 22]","[9, 22]","[7, 22]","[11, 22]"
"[[4 1 0 5]
 [5 0 0 5]]","[4, 19]","[8, 19]","[7, 19]","[10, 19]"
"[[6 0 0 6]
 [5 1 1 5]]","[6, 22]","[8, 22]","[8, 22]","[11, 22]"
"[[5 0 0 5]
 [5 0 1 4]]","[4, 19]","[8, 19]","[7, 19]","[10, 19]"
"[[6 0 0 6]
 [4 2 0 6]]","[6, 22]","[9, 22]","[9, 22]","[11, 22]"
"[[5 0 0 5]
 [4 1 0 5]]","[4, 19]","[8, 19]","[7, 19]","[10, 19]"
"[[5 1 0 6]
 [5 1 0 6]]","[6, 22]","[9, 22]","[6, 22]","[11, 22]"
"[[6 0 2 4]
 [6 0 1 5]]","[4, 21]","[7, 21]","[5, 21]","[7, 21]"
"[[6 0 1 5]
 [6 0 0 6]]","[8, 23]","[11, 23]","[9, 23]","[15, 23]"
"[[6 0 1 5]
 [6 0 0 6]]","[8, 23]","[11, 23]","[10, 23]","[15, 23]"
"[[6 0 1 5]
 [6 0 1 5]]","[6, 22]","[9, 22]","[8, 22]","[10, 22]"
"[[6 0 0 6]
 [6 0 1 5]]","[8, 23]","[11, 23]","[9, 23]","[15, 23]"
"[[6 0 0 6]
 [5 1 1 5]]","[6, 22]","[8, 22]","[8, 22]","[11, 22]"
"[[6 0 0 6]
 [6 0 0 6]]","[10, 24]","[14, 24]","[14, 24]","[18, 24]"
"[[5 1 1 5]
 [5 1 0 6]]","[4, 21]","[6, 21]","[5, 21]","[8, 21]"
"[[5 1 1 5]
 [5 1 0 6]]","[4, 21]","[6, 21]","[4, 21]","[9, 21]"
"[[5 1 0 6]
 [6 0 0 6]]","[8, 23]","[11, 23]","[10, 23]","[15, 23]"
"[[6 0 2 4]
 [6 0 0 6]]","[6, 22]","[9, 22]","[9, 22]","[12, 22]"
"[[6 0 0 6]
 [5 1 1 5]]","[6, 22]","[8, 22]","[7, 22]","[11, 22]"
"[[5 1 0 6]
 [6 0 0 6]]","[8, 23]","[11, 23]","[9, 23]","[15, 23]"
"[[6 0 2 4]
 [5 1 0 6]]","[4, 21]","[6, 21]","[4, 21]","[9, 21]"
"[[5 1 0 6]
 [6 0 0 6]]","[8, 23]","[11, 23]","[10, 23]","[13, 23]"
"[[6 0 0 6]
 [5 1 0 6]]","[8, 23]","[11, 23]","[10, 23]","[16, 23]"
"[[7 0 1 6]
 [6 1 0 7]]","[8, 26]","[12, 26]","[12, 26]","[16, 26]"
"[[6 0 2 4]
 [6 0 1 5]]","[4, 21]","[7, 21]","[5, 21]","[8, 21]"
"[[6 0 0 6]
 [5 1 0 6]]","[8, 23]","[11, 23]","[12, 23]","[15, 23]"
"[[5 1 0 6]
 [6 0 0 6]]","[8, 23]","[11, 23]","[10, 23]","[12, 23]"
"[[6 0 0 6]
 [6 0 1 5]]","[8, 23]","[11, 23]","[9, 23]","[14, 23]"
"[[6 0 1 5]
 [6 0 0 6]]","[8, 23]","[11, 23]","[10, 23]","[14, 23]"
"[[6 0 1 5]
 [6 0 0 6]]","[8, 23]","[11, 23]","[10, 23]","[16, 23]"
"[[7 0 2 5]
 [7 0 0 7]]","[9, 26]","[13, 26]","[9, 26]","[16, 26]"
"[[6 0 1 5]
 [6 0 0 6]]","[8, 23]","[11, 23]","[10, 23]","[15, 23]"
"[[6 0 0 6]
 [4 2 0 6]]","[6, 22]","[9, 22]","[8, 22]","[10, 22]"
"[[5 1 0 6]
 [6 0 0 6]]","[8, 23]","[11, 23]","[10, 23]","[14, 23]"
"[[6 0 0 6]
 [6 0 1 5]]","[8, 23]","[11, 23]","[11, 23]","[14, 23]"
"[[6 0 0 6]
 [6 0 1 5]]","[8, 23]","[11, 23]","[11, 23]","[13, 23]"
"[[6 0 1 5]
 [6 0 0 6]]","[8, 23]","[11, 23]","[11, 23]","[14, 23]"
"[[6 0 1 5]
 [5 1 0 6]]","[6, 22]","[8, 22]","[7, 22]","[11, 22]"
"[[6 1 1 6]
 [7 0 0 7]]","[8, 26]","[12, 26]","[12, 26]","[14, 26]"
"[[6 0 1 5]
 [6 0 1 5]]","[6, 22]","[9, 22]","[7, 22]","[11, 22]"
"[[6 1 1 6]
 [7 0 1 6]]","[6, 25]","[10, 25]","[8, 25]","[13, 25]"
"[[6 0 1 5]
 [6 0 0 6]]","[8, 23]","[11, 23]","[9, 23]","[15, 23]"
"[[6 0 0 6]
 [5 1 0 6]]","[8, 23]","[11, 23]","[10, 23]","[15, 23]"
"[[5 1 0 6]
 [5 1 0 6]]","[6, 22]","[9, 22]","[7, 22]","[11, 22]"
"[[6 1 1 6]
 [7 0 0 7]]","[8, 26]","[12, 26]","[12, 26]","[15, 26]"
"[[6 0 1 5]
 [6 0 1 5]]","[6, 22]","[9, 22]","[7, 22]","[11, 22]"
"[[7 0 0 7]
 [6 1 1 6]]","[8, 26]","[12, 26]","[12, 26]","[15, 26]"
"[[6 0 0 6]
 [5 1 1 5]]","[6, 22]","[8, 22]","[8, 22]","[10, 22]"
"[[6 0 0 6]
 [5 1 0 6]]","[8, 23]","[11, 23]","[10, 23]","[15, 23]"
"[[6 0 1 5]
 [6 0 0 6]]","[8, 23]","[11, 23]","[9, 23]","[15, 23]"
"[[6 1 0 7]
 [7 0 0 7]]","[11, 27]","[15, 27]","[11, 27]","[18, 27]"
"[[5 1 0 6]
 [5 1 0 6]]","[6, 22]","[9, 22]","[9, 22]","[10, 22]"
"[[6 0 0 6]
 [5 1 0 6]]","[8, 23]","[11, 23]","[10, 23]","[14, 23]"
"[[6 1 0 7]
 [7 0 1 6]]","[8, 26]","[12, 26]","[11, 26]","[16, 26]"
"[[6 0 0 6]
 [6 0 0 6]]","[10, 24]","[14, 24]","[13, 24]","[17, 24]"
"[[6 0 0 6]
 [6 0 2 4]]","[6, 22]","[9, 22]","[9, 22]","[9, 22]"
"[[5 1 1 5]
 [6 0 0 6]]","[6, 22]","[8, 22]","[9, 22]","[11, 22]"
"[[7 0 1 6]
 [7 0 1 6]]","[9, 26]","[13, 26]","[13, 26]","[16, 26]"
"[[6 1 0 7]
 [7 0 0 7]]","[11, 27]","[15, 27]","[13, 27]","[19, 27]"
"[[6 0 1 5]
 [6 0 0 6]]","[8, 23]","[11, 23]","[9, 23]","[15, 23]"
"[[6 1 0 7]
 [6 1 0 7]]","[9, 26]","[13, 26]","[11, 26]","[15, 26]"
"[[6 0 0 6]
 [6 0 1 5]]","[8, 23]","[11, 23]","[10, 23]","[14, 23]"
"[[6 1 0 7]
 [7 0 1 6]]","[8, 26]","[12, 26]","[11, 26]","[16, 26]"
"[[5 1 0 6]
 [5 1 0 6]]","[6, 22]","[9, 22]","[8, 22]","[12, 22]"
"[[6 1 0 7]
 [7 0 1 6]]","[8, 26]","[12, 26]","[11, 26]","[16, 26]"
"[[6 1 2 5]
 [7 0 0 7]]","[6, 25]","[10, 25]","[9, 25]","[13, 25]"
"[[6 0 1 5]
 [6 0 0 6]]","[8, 23]","[11, 23]","[12, 23]","[15, 23]"
"[[6 0 1 5]
 [6 0 0 6]]","[8, 23]","[11, 23]","[10, 23]","[14, 23]"
"[[7 0 1 6]
 [7 0 1 6]]","[9, 26]","[13, 26]","[11, 26]","[15, 26]"
"[[6 1 1 6]
 [7 0 0 7]]","[8, 26]","[12, 26]","[11, 26]","[14, 26]"
"[[6 0 0 6]
 [5 1 0 6]]","[8, 23]","[11, 23]","[9, 23]","[15, 23]"
"[[7 0 1 6]
 [7 0 1 6]]","[9, 26]","[13, 26]","[9, 26]","[16, 26]"
"[[6 0 2 4]
 [6 0 1 5]]","[4, 21]","[7, 21]","[4, 21]","[8, 21]"
"[[7 0 0 7]
 [6 1 0 7]]","[11, 27]","[15, 27]","[12, 27]","[19, 27]"
"[[7 0 0 7]
 [6 1 0 7]]","[11, 27]","[15, 27]","[15, 27]","[18, 27]"
"[[6 1 0 7]
 [7 0 1 6]]","[8, 26]","[12, 26]","[11, 26]","[16, 26]"
"[[5 1 0 6]
 [5 1 0 6]]","[6, 22]","[9, 22]","[9, 22]","[13, 22]"
"[[7 0 3 4]
 [7 0 0 7]]","[8, 25]","[11, 25]","[9, 25]","[12, 25]"
"[[7 0 0 7]
 [7 0 1 6]]","[11, 27]","[15, 27]","[11, 27]","[18, 27]"
"[[6 1 0 7]
 [6 1 0 7]]","[9, 26]","[13, 26]","[9, 26]","[14, 26]"
"[[7 0 0 7]
 [6 1 0 7]]","[11, 27]","[15, 27]","[13, 27]","[18, 27]"
"[[7 0 0 7]
 [6 1 1 6]]","[8, 26]","[12, 26]","[12, 26]","[14, 26]"
"[[7 0 1 6]
 [7 0 1 6]]","[9, 26]","[13, 26]","[12, 26]","[15, 26]"
"[[6 1 0 7]
 [7 0 0 7]]","[11, 27]","[15, 27]","[14, 27]","[18, 27]"
"[[7 0 2 5]
 [7 0 0 7]]","[9, 26]","[13, 26]","[12, 26]","[16, 26]"
"[[7 0 1 6]
 [7 0 0 7]]","[11, 27]","[15, 27]","[16, 27]","[18, 27]"
"[[5 2 0 7]
 [7 0 0 7]]","[9, 26]","[13, 26]","[12, 26]","[15, 26]"
"[[7 0 0 7]
 [7 0 0 7]]","[14, 28]","[18, 28]","[19, 28]","[22, 28]"
"[[6 1 0 7]
 [7 0 0 7]]","[11, 27]","[15, 27]","[13, 27]","[19, 27]"
"[[7 0 1 6]
 [7 0 1 6]]","[9, 26]","[13, 26]","[11, 26]","[15, 26]"
"[[6 1 0 7]
 [7 0 0 7]]","[11, 27]","[15, 27]","[13, 27]","[19, 27]"
"[[6 1 0 7]
 [7 0 0 7]]","[11, 27]","[15, 27]","[13, 27]","[19, 27]"
"[[7 0 0 7]
 [7 0 0 7]]","[14, 28]","[18, 28]","[18, 28]","[22, 28]"
"[[7 0 0 7]
 [6 1 0 7]]","[11, 27]","[15, 27]","[14, 27]","[18, 27]"
"[[7 0 0 7]
 [5 2 0 7]]","[9, 26]","[13, 26]","[11, 26]","[15, 26]"
"[[7 0 1 6]
 [7 0 0 7]]","[11, 27]","[15, 27]","[12, 27]","[17, 27]"
"[[7 0 1 6]
 [7 0 0 7]]","[11, 27]","[15, 27]","[15, 27]","[18, 27]"
"[[6 1 0 7]
 [7 0 0 7]]","[11, 27]","[15, 27]","[15, 27]","[19, 27]"
"[[6 1 1 6]
 [7 0 0 7]]","[8, 26]","[12, 26]","[13, 26]","[15, 26]"
"[[7 0 0 7]
 [6 1 0 7]]","[11, 27]","[15, 27]","[15, 27]","[17, 27]"
"[[7 0 1 6]
 [7 0 0 7]]","[11, 27]","[15, 27]","[13, 27]","[17, 27]"
"[[7 0 0 7]
 [7 0 2 5]]","[9, 26]","[13, 26]","[12, 26]","[15, 26]"
"[[7 0 0 7]
 [6 1 0 7]]","[11, 27]","[15, 27]","[15, 27]","[19, 27]"
"[[7 0 1 6]
 [6 1 0 7]]","[8, 26]","[12, 26]","[10, 26]","[15, 26]"
"[[7 0 1 6]
 [7 0 1 6]]","[9, 26]","[13, 26]","[11, 26]","[15, 26]"
"[[7 0 0 7]
 [7 0 1 6]]","[11, 27]","[15, 27]","[13, 27]","[18, 27]"
"[[6 1 1 6]
 [7 0 0 7]]","[8, 26]","[12, 26]","[12, 26]","[16, 26]"
