"[[7 1 1 7]
 [6 2 1 7]]","[6, 27]","[8, 27]","[7, 27]","[10, 27]"

"[[7 1 2 6]
 [5 3 1 7]]","[2, 25]","[4, 25]","[2, 25]","[6, 24]"

"[[7 1 3 5]
 [5 3 2 6]]","[-2, 23]","[0, 23]","[0, 22]","[2, 21]"

"[[5 3 1 7]
 [8 0 2 6]]","[4, 26]","[6, 26]","[6, 26]","[7, 25]"

"[[6 2 1 7]
 [6 2 4 4]]","[-2, 23]","[0, 23]","[-1, 23]","[3, 21]"

"[[6 2 2 6]
 [6 2 1 7]]","[2, 25]","[4, 25]","[2, 25]","[5, 24]"

"[[4 4 1 7]
 [6 2 0 8]]","[2, 25]","[5, 24]","[2, 25]","[9, 23]"

"[[5 3 0 8]
 [6 2 1 7]]","[4, 26]","[7, 26]","[5, 26]","[9, 25]"

"[[6 3 1 8]
 [6 3 1 8]]","[3, 28]","[6, 27]","[4, 28]","[8, 27]"

"[[7 2 1 8]
 [8 1 2 7]]","[6, 30]","[10, 30]","[10, 30]","[12, 29]"

"[[6 3 1 8]
 [9 0 4 5]]","[4, 28]","[6, 28]","[4, 28]","[8, 27]"

"[[6 3 1 8]
 [8 1 2 7]]","[4, 29]","[8, 29]","[5, 29]","[9, 28]"

"[[7 2 2 7]
 [8 1 2 7]]","[4, 29]","[8, 29]","[6, 29]","[10, 28]"

"[[7 2 1 8]
 [7 2 2 7]]","[4, 29]","[8, 29]","[6, 29]","[10, 28]"

"[[9 0 2 7]
 [7 2 4 5]]","[3, 28]","[6, 27]","[4, 27]","[8, 26]"

"[[7 2 3 6]
 [7 2 2 7]]","[0, 27]","[4, 27]","[1, 27]","[5, 25]"

"[[7 2 1 8]
 [5 4 2 7]]","[0, 27]","[4, 26]","[0, 27]","[3, 25]"

"[[5 4 0 9]
 [5 4 1 8]]","[2, 27]","[5, 25]","[1, 27]","[6, 25]"

"[[7 2 1 8]
 [8 1 3 6]]","[4, 29]","[8, 29]","[6, 29]","[10, 28]"

"[[6 3 1 8]
 [7 2 1 8]]","[5, 29]","[8, 29]","[6, 29]","[11, 27]"

"[[8 1 3 6]
 [7 2 2 7]]","[2, 28]","[6, 28]","[4, 28]","[9, 27]"

"[[8 1 1 8]
 [7 2 3 6]]","[4, 29]","[8, 29]","[4, 29]","[11, 28]"

