"[[2 3 2 3]
 [5 0 0 5]]","[-3, 15]","[-1, 15]","[-1, 15]","[0, 15]"
"[[2 3 1 4]
 [5 0 0 5]]","[-1, 16]","[2, 16]","[0, 16]","[3, 16]"
"[[1 4 2 3]
 [5 0 0 5]]","[-5, 14]","[-3, 14]","[-3, 14]","[-1, 13]"
"[[2 4 1 5]
 [6 0 0 6]]","[0, 19]","[2, 19]","[4, 19]","[4, 19]"
"[[2 4 0 6]
 [6 0 0 6]]","[2, 20]","[5, 20]","[4, 20]","[7, 20]"
"[[4 1 3 2]
 [5 0 0 5]]","[-1, 16]","[2, 16]","[1, 16]","[4, 16]"
"[[3 2 0 5]
 [5 0 0 5]]","[2, 18]","[5, 18]","[3, 18]","[8, 18]"
"[[4 2 2 4]
 [6 0 0 6]]","[2, 20]","[4, 20]","[4, 20]","[6, 20]"
"[[3 2 2 3]
 [5 0 0 5]]","[-2, 16]","[0, 16]","[2, 16]","[1, 16]"
"[[3 3 2 4]
 [6 0 0 6]]","[0, 19]","[2, 19]","[2, 19]","[5, 19]"
"[[3 2 4 1]
 [5 0 0 5]]","[-5, 14]","[-3, 14]","[-3, 14]","[-2, 13]"
"[[5 1 3 3]
 [6 0 0 6]]","[2, 20]","[4, 20]","[3, 20]","[5, 20]"
"[[4 2 2 4]
 [6 0 0 6]]","[2, 20]","[4, 20]","[5, 20]","[4, 20]"
"[[4 2 2 4]
 [6 0 0 6]]","[2, 20]","[4, 20]","[4, 20]","[7, 20]"
"[[1 5 2 4]
 [6 0 0 6]]","[-3, 17]","[-2, 17]","[0, 17]","[0, 16]"
"[[2 4 1 5]
 [6 0 0 6]]","[0, 19]","[2, 19]","[3, 19]","[5, 19]"
"[[5 1 2 4]
 [6 0 0 6]]","[4, 21]","[6, 21]","[6, 21]","[8, 21]"
"[[1 5 1 5]
 [6 0 0 6]]","[-1, 18]","[0, 18]","[0, 18]","[3, 17]"
"[[2 4 1 5]
 [6 0 0 6]]","[0, 19]","[2, 19]","[1, 19]","[5, 18]"
"[[3 3 3 3]
 [6 0 0 6]]","[-2, 18]","[0, 18]","[0, 18]","[2, 17]"
"[[4 2 1 5]
 [6 0 0 6]]","[4, 21]","[6, 21]","[7, 21]","[8, 21]"
"[[3 3 1 5]
 [6 0 0 6]]","[2, 20]","[4, 20]","[5, 20]","[7, 20]"
"[[3 3 0 6]
 [6 0 0 6]]","[4, 21]","[7, 21]","[6, 21]","[10, 21]"
"[[2 4 3 3]
 [6 0 0 6]]","[-4, 17]","[-2, 17]","[-2, 16]","[-1, 16]"
"[[4 2 3 3]
 [6 0 0 6]]","[0, 19]","[2, 19]","[3, 19]","[4, 19]"
"[[3 3 1 5]
 [6 0 0 6]]","[2, 20]","[4, 20]","[3, 20]","[5, 20]"
"[[4 2 2 4]
 [6 0 0 6]]","[2, 20]","[4, 20]","[4, 20]","[7, 20]"
"[[3 3 2 4]
 [6 0 0 6]]","[0, 19]","[2, 19]","[3, 19]","[4, 18]"
"[[4 2 3 3]
 [6 0 0 6]]","[0, 19]","[2, 19]","[-1, 19]","[2, 19]"
"[[5 1 2 4]
 [6 0 0 6]]","[4, 21]","[6, 21]","[6, 21]","[10, 21]"
"[[4 2 3 3]
 [6 0 0 6]]","[0, 19]","[2, 19]","[4, 19]","[3, 19]"
"[[5 1 5 1]
 [6 0 0 6]]","[-1, 18]","[0, 18]","[2, 18]","[2, 17]"
"[[1 5 2 4]
 [6 0 0 6]]","[-3, 17]","[-2, 17]","[-3, 17]","[0, 16]"
"[[3 3 1 5]
 [6 0 0 6]]","[2, 20]","[4, 20]","[5, 20]","[6, 20]"
"[[6 0 3 3]
 [6 0 0 6]]","[4, 21]","[7, 21]","[6, 21]","[10, 21]"
"[[5 1 3 3]
 [6 0 0 6]]","[2, 20]","[4, 20]","[3, 20]","[5, 20]"
"[[4 2 4 2]
 [6 0 0 6]]","[-2, 18]","[0, 18]","[-1, 18]","[1, 17]"
"[[5 1 2 4]
 [6 0 0 6]]","[4, 21]","[6, 21]","[6, 21]","[10, 21]"
"[[5 1 2 4]
 [6 0 0 6]]","[4, 21]","[6, 21]","[7, 21]","[10, 21]"
"[[1 5 0 6]
 [6 0 0 6]]","[1, 19]","[3, 19]","[0, 19]","[5, 18]"
"[[4 2 3 3]
 [6 0 0 6]]","[0, 19]","[2, 19]","[0, 19]","[5, 19]"
"[[6 0 4 2]
 [6 0 0 6]]","[2, 20]","[5, 20]","[5, 20]","[7, 19]"
"[[2 4 2 4]
 [6 0 0 6]]","[-2, 18]","[0, 18]","[2, 18]","[2, 17]"
"[[3 3 4 2]
 [6 0 0 6]]","[-4, 17]","[-2, 17]","[1, 17]","[0, 16]"
"[[4 2 3 3]
 [6 0 0 6]]","[0, 19]","[2, 19]","[4, 19]","[5, 19]"
"[[5 1 3 3]
 [6 0 0 6]]","[2, 20]","[4, 20]","[5, 20]","[4, 20]"
"[[4 2 2 4]
 [6 0 0 6]]","[2, 20]","[4, 20]","[4, 20]","[6, 20]"
"[[3 3 1 5]
 [6 0 0 6]]","[2, 20]","[4, 20]","[5, 20]","[6, 20]"
"[[3 3 3 3]
 [6 0 0 6]]","[-2, 18]","[0, 18]","[0, 18]","[3, 17]"
"[[3 3 3 3]
 [6 0 0 6]]","[-2, 18]","[0, 18]","[-1, 18]","[0, 17]"
"[[1 5 0 6]
 [6 0 0 6]]","[1, 19]","[3, 19]","[3, 19]","[4, 18]"
"[[3 3 2 4]
 [6 0 0 6]]","[0, 19]","[2, 19]","[3, 19]","[4, 18]"
"[[4 2 2 4]
 [6 0 0 6]]","[2, 20]","[4, 20]","[4, 20]","[6, 20]"
"[[2 4 3 3]
 [6 0 0 6]]","[-4, 17]","[-2, 17]","[-2, 17]","[0, 16]"
"[[4 2 4 2]
 [6 0 0 6]]","[-2, 18]","[0, 18]","[1, 17]","[2, 18]"
"[[2 4 0 6]
 [6 0 0 6]]","[2, 20]","[5, 20]","[4, 20]","[7, 19]"
"[[1 5 1 5]
 [6 0 0 6]]","[-1, 18]","[0, 18]","[-1, 18]","[1, 17]"
"[[2 4 1 5]
 [6 0 0 6]]","[0, 19]","[2, 19]","[2, 19]","[5, 18]"
