"[[10 10 10 10]
 [10 10 10 10]]","[[ 5  5 15 15]
 [ 7  3 16 14]]","[-22.312006590229984, 35.64533992356331]",0.001,"[-21, 32]",0.01036,"[-17, 28]",11.72244,"[-18, 28]",0.42405,"[-14, 26]",165.06294

"[[10 10 10 10]
 [10 10 10 10]]","[[ 2  8 14 16]
 [ 6  4 17 13]]","[-36.827486318905784, 18.160819652239113]",0.0,"[-34, 19]",0.0145,"[-31, 14]",11.4262,"[-31, 16]",0.45922,"[-29, 12]",156.51473

"[[10 10 10 10]
 [10 10 10 10]]","[[ 4  6 17 13]
 [ 4  6 15 15]]","[-40.088896253526, 18.755562920192673]",0.0,"[-35, 18]",0.01426,"[-32, 13]",11.35455,"[-31, 14]",0.41093,"[-28, 9]",228.85218

"[[ 3 23  2  2]
 [ 4  2 30  4]]","[[ 3  2  4 21]
 [ 3 27  9  1]]","[-44.68708493880911, 7.08708493880911]",0.0,"[-40, 10]",0.008,"[-39, 9]",6.15102,"[-37, 2]",0.14599,"[-34, 2]",39.54498

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 9  6  0  5]
 [14  1  0  5]]","[22.521644623846942, 38.81168870948639]",0.0,"[10, 33]",0.01206,"[14, 33]",0.78335,"[14, 33]",0.04,"[18, 33]",8.41734

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 8  7  2  3]
 [15  0  1  4]]","[-0.35833758197826526, 37.6916709153116]",0.0,"[-2, 30]",0.004,"[1, 30]",0.7773,"[2, 28]",0.06621,"[3, 27]",2.17128

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 7  8  2  3]
 [14  1  0  5]]","[4.104006018807677, 35.895993981192326]",0.0,"[-1, 29]",0.004,"[2, 29]",0.82086,"[5, 28]",0.06805,"[4, 27]",2.93443

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 9  6  2  3]
 [14  1  0  5]]","[6.8321661228750425, 38.50116721045829]",0.0,"[2, 31]",0.004,"[4, 31]",0.8324,"[5, 31]",0.04557,"[6, 30]",3.06172

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 8  7  1  4]
 [14  1  0  5]]","[11.505127248703392, 39.16153941796327]",0.0,"[4, 31]",0.00401,"[8, 31]",0.7875,"[7, 31]",0.04,"[12, 30]",6.29056

"[[ 3 23  2  2]
 [ 4  2 30  4]]","[[ 3  2  3 22]
 [ 6 24  7  3]]","[-34.40691090874231, 23.20691090874232]",0.0,"[-31, 24]",0.008,"[-33, 23]",6.05143,"[-27, 19]",0.19601,"[-23, 16]",19.12118

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 7  8  2  3]
 [14  1  0  5]]","[4.104006018807677, 35.895993981192326]",0.0,"[-1, 29]",0.00801,"[2, 29]",1.01592,"[1, 29]",0.06536,"[6, 27]",4.48952

"[[ 3 23  2  2]
 [ 4  2 30  4]]","[[ 4  1  4 21]
 [ 5 25  9  1]]","[-33.08834932662514, 12.821682659958478]",0.00401,"[-34, 16]",0.01201,"[-32, 16]",6.02254,"[-28, 14]",0.17649,"[-27, 11]",22.10032

"[[ 3 23  2  2]
 [ 4  2 30  4]]","[[ 5  0  5 20]
 [ 5 25  7  3]]","[-16.208437272426714, 21.541770605760053]",0.0,"[-27, 24]",0.016,"[-25, 24]",7.58137,"[-20, 22]",0.19649,"[-18, 20]",22.98237

"[[10 10 10 10]
 [10 10 10 10]]","[[ 4  6 16 14]
 [ 5  5 16 14]]","[-36.335978775765255, 23.002645442431927]",0.0,"[-32, 21]",0.012,"[-29, 17]",13.12193,"[-29, 18]",0.4094,"[-26, 15]",117.79314

"[[10 10 10 10]
 [10 10 10 10]]","[[ 9  1 13 17]
 [ 6  4 14 16]]","[-1.6966691739331141, 49.69666917393312]",0.0,"[-5, 45]",0.012,"[-1, 42]",11.37914,"[-4, 41]",0.42158,"[0, 38]",480.79959

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 8  7  2  3]
 [15  0  1  4]]","[-0.35833758197826526, 37.6916709153116]",0.0,"[-2, 30]",0.00401,"[1, 30]",1.00031,"[-2, 29]",0.068,"[4, 26]",2.31736

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 8  7  1  4]
 [15  0  1  4]]","[5.332092961788555, 40.00124037154478]",0.0,"[1, 31]",0.008,"[4, 31]",0.86722,"[5, 30]",0.03959,"[8, 29]",3.23256

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 9  6  2  3]
 [14  1  0  5]]","[6.8321661228750425, 38.50116721045829]",0.0,"[2, 31]",0.008,"[4, 31]",0.97457,"[5, 31]",0.05204,"[7, 29]",3.41058

"[[10 10 10 10]
 [10 10 10 10]]","[[ 7  3 13 17]
 [ 5  5 15 15]]","[-18.287617184935453, 39.62095051826878]",0.0,"[-17, 35]",0.012,"[-13, 32]",10.8968,"[-14, 31]",0.55787,"[-12, 28]",204.97289

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 8  7  3  2]
 [15  0  1  4]]","[-4.358337581978264, 33.6916709153116]",0.0,"[-5, 29]",0.004,"[-3, 27]",1.13208,"[-2, 28]",0.05601,"[1, 24]",0.99138

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 9  6  3  2]
 [14  1  0  5]]","[2.832166122875044, 34.50116721045829]",0.0,"[-1, 30]",0.008,"[1, 30]",1.11691,"[4, 28]",0.04411,"[3, 27]",2.20141

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 9  6  1  4]
 [14  1  0  5]]","[12.909193557834826, 40.4241397754985]",0.0,"[5, 32]",0.008,"[9, 32]",0.69921,"[9, 32]",0.04057,"[10, 31]",4.11111

"[[ 3 23  2  2]
 [ 4  2 30  4]]","[[ 5  0  5 20]
 [ 4 26  9  1]]","[-20.956549977981606, 7.623216644648274]",0.0,"[-32, 15]",0.012,"[-29, 15]",6.38211,"[-27, 14]",0.15789,"[-25, 13]",14.74691

"[[ 3 23  2  2]
 [ 4  2 30  4]]","[[ 4  1  4 21]
 [ 6 24  8  2]]","[-29.66807784617716, 20.06807784617715]",0.004,"[-31, 21]",0.012,"[-30, 21]",6.17562,"[-28, 18]",0.19406,"[-25, 16]",17.26966

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 7  8  1  4]
 [15  0  1  4]]","[3.998759628455222, 38.667907038211446]",0.0,"[0, 30]",0.004,"[3, 30]",0.80999,"[3, 29]",0.04385,"[6, 28]",3.55583

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 9  6  1  4]
 [14  1  0  5]]","[12.909193557834826, 40.4241397754985]",0.0025,"[5, 32]",0.00801,"[9, 32]",0.8414,"[8, 32]",0.048,"[13, 31]",6.67185

"[[10 10 10 10]
 [10 10 10 10]]","[[ 3  7 14 16]
 [ 5  5 12 18]]","[-31.572109970956035, 26.238776637622692]",0.004,"[-28, 25]",0.012,"[-25, 21]",12.71971,"[-26, 22]",0.48001,"[-22, 17]",167.22528

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 7  8  0  5]
 [14  1  0  5]]","[19.736066235939177, 36.26393376406082]",0.0,"[7, 31]",0.00833,"[12, 31]",0.69174,"[9, 31]",0.04005,"[15, 31]",7.04169

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 8  7  2  3]
 [15  0  1  4]]","[-0.35833758197826526, 37.6916709153116]",0.0,"[-2, 30]",0.004,"[1, 30]",0.99221,"[1, 30]",0.04,"[3, 26]",2.23029

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 7  8  3  2]
 [15  0  1  4]]","[-5.691670915311597, 32.35833758197827]",0.0,"[-6, 28]",0.008,"[-4, 26]",0.89456,"[-2, 27]",0.04,"[-1, 24]",1.05292

"[[10 10 10 10]
 [10 10 10 10]]","[[ 7  3 13 17]
 [ 3  7 16 14]]","[-26.65319001089033, 29.319856677556988]",0.0,"[-26, 28]",0.016,"[-22, 25]",12.89945,"[-21, 23]",0.40894,"[-19, 22]",111.58634

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 8  7  0  5]
 [14  1  0  5]]","[21.069399569272512, 37.59726709739416]",0.0,"[9, 32]",0.0065,"[13, 32]",0.67732,"[9, 32]",0.05201,"[17, 32]",7.50211

"[[ 3 23  2  2]
 [ 4  2 30  4]]","[[ 5  0  5 20]
 [ 5 25  9  1]]","[-19.92288733859104, 9.256220671924371]",0.0,"[-31, 17]",0.01634,"[-27, 16]",6.71842,"[-27, 17]",0.19913,"[-24, 13]",18.14389

"[[ 3 23  2  2]
 [ 4  2 30  4]]","[[ 4  1  5 20]
 [ 5 25 10  0]]","[-36.02093300152109, 5.354266334854429]",0.0,"[-37, 10]",0.02024,"[-34, 10]",4.87994,"[-37, 10]",0.19081,"[-31, 6]",30.38838

"[[ 3 23  2  2]
 [ 4  2 30  4]]","[[ 3  2  4 21]
 [ 3 27  8  2]]","[-42.25541118192694, 12.65541118192693]",0.0,"[-38, 14]",0.01125,"[-38, 13]",5.5355,"[-34, 7]",0.21202,"[-30, 5]",37.06494

"[[ 3 23  2  2]
 [ 4  2 30  4]]","[[ 5  0  5 20]
 [ 6 24  9  1]]","[-18.855476634696515, 10.855476634696522]",0.0,"[-29, 18]",0.00798,"[-26, 17]",6.50056,"[-27, 18]",0.30202,"[-22, 16]",15.94308

"[[ 2 24  0  4]
 [ 1 26  2  1]]","[[ 5  0  1 24]
 [23  2  0  5]]","[50.71948469821349, 62.080515301786505]",0.0,"[17, 57]",0.008,"[25, 58]",0.24154,"[31, 57]",0.0785,"[38, 57]",13.20678

